1000

+--------------------------------------+--------------------------------------+---------+--------------------+-------+---------------------+
| id                                   | reportid                             | KPI     | watch              | value | TIMESTAMP           |
+--------------------------------------+--------------------------------------+---------+--------------------+-------+---------------------+
| a5a496a0-01a9-11eb-a183-13d1498332e7 | a5a496a0-01a9-11eb-a183-13d1498332e7 | bitrate |              6.187 |   514 | 2020-09-28 16:44:10 |
| 71c181e0-01a9-11eb-abd3-ad35e77ed429 | 71c181e0-01a9-11eb-abd3-ad35e77ed429 | bitrate |              7.654 |   514 | 2020-09-28 16:44:11 |
| 71c09780-01a9-11eb-abb3-a7f4b40ebf34 | 71c09780-01a9-11eb-abb3-a7f4b40ebf34 | bitrate |              7.585 |   514 | 2020-09-28 16:44:17 |
| ac636cf0-01a9-11eb-bb31-db30e392eeba | ac636cf0-01a9-11eb-bb31-db30e392eeba | bitrate |              6.837 |   514 | 2020-09-28 16:44:21 |
| 71c1f710-01a9-11eb-83f6-bd216ecc9329 | 71c1f710-01a9-11eb-83f6-bd216ecc9329 | bitrate |              7.155 |   514 | 2020-09-28 16:44:25 |
| 71c0e5a0-01a9-11eb-83f6-bd3cf56f04ef | 71c0e5a0-01a9-11eb-83f6-bd3cf56f04ef | bitrate |              5.516 |   514 | 2020-09-28 16:44:28 |
| af9c50d0-01a9-11eb-9e32-b5a3121a2cdd | af9c50d0-01a9-11eb-9e32-b5a3121a2cdd | bitrate |              6.837 |   514 | 2020-09-28 16:44:34 |
| 65fafb20-01a9-11eb-b4c0-87bee5dbd7a4 | 65fafb20-01a9-11eb-b4c0-87bee5dbd7a4 | bitrate |              6.837 |   514 | 2020-09-28 16:44:38 |
+--------------------------------------+--------------------------------------+---------+--------------------+-------+---------------------+
54.608

+--------------------------------------+--------------------------------------+---------+--------------------+-------+---------------------+
| id                                   | reportid                             | KPI     | watch              | value | TIMESTAMP           |
+--------------------------------------+--------------------------------------+---------+--------------------+-------+---------------------+
| e9877230-01ad-11eb-bee1-f347977ca199 | e9877230-01ad-11eb-bee1-f347977ca199 | bitrate | 1.4460000000000002 |   552 | 2020-09-28 17:14:28 |
| 2a78f700-01ae-11eb-9bd3-b3d2332ebcd9 | 2a78f700-01ae-11eb-9bd3-b3d2332ebcd9 | bitrate | 0.7969999999999999 |   552 | 2020-09-28 17:16:15 |
| 73ffe6e0-01ae-11eb-9d6c-2ff3cc4bc493 | 73ffe6e0-01ae-11eb-9d6c-2ff3cc4bc493 | bitrate |              0.702 |   552 | 2020-09-28 17:18:17 |
| 05cdc200-01ae-11eb-9b10-99ab92da6501 | 05cdc200-01ae-11eb-9b10-99ab92da6501 | bitrate |              0.842 |   552 | 2020-09-28 17:20:21 |
| 0092d720-01af-11eb-ade4-0da2c1ff65a6 | 0092d720-01af-11eb-ade4-0da2c1ff65a6 | bitrate |              0.833 |   552 | 2020-09-28 17:22:13 |
| 2639aa30-01af-11eb-8dc4-e9dd69ee5bb3 | 2639aa30-01af-11eb-8dc4-e9dd69ee5bb3 | bitrate |              0.754 |   552 | 2020-09-28 17:24:16 |
| 92373bd0-01af-11eb-b352-ab361d007c56 | 92373bd0-01af-11eb-b352-ab361d007c56 | bitrate |              0.817 |   552 | 2020-09-28 17:26:18 |
| b8567330-01af-11eb-8092-5d404cbc4e46 | b8567330-01af-11eb-8092-5d404cbc4e46 | bitrate | 0.6699999999999999 |   552 | 2020-09-28 17:28:20 |
| 016266b0-01b0-11eb-a609-4bf19eaf8ceb | 016266b0-01b0-11eb-a609-4bf19eaf8ceb | bitrate |              0.747 |   552 | 2020-09-28 17:30:13 |
| 6f8f02c0-01af-11eb-8dc7-032b8885fa4f | 6f8f02c0-01af-11eb-8dc7-032b8885fa4f | bitrate |              0.844 |   552 | 2020-09-28 17:32:15 |
| c2c4f5f0-01ad-11eb-ae64-afea4a08d38b | c2c4f5f0-01ad-11eb-ae64-afea4a08d38b | bitrate |              0.779 |   552 | 2020-09-28 17:34:18 |
